Client_ID,Industry,Contract_Length,Renewal_Status,Monthly_Marketing_Spend,Campaign_Count,Leads,Conversions,Conversion_Rate,Website_Visits,Social_Engagement,Campaign_Performance,Ad_Spend,ROAS,Client_Feedback_Score,Complaint_Count,Avg_Response_Time,Monthly_Revenue,Client_Lifetime_Value,Performance_Change_3M,Churn
CL10019,Retail,36,Renewed,70333.59,3,9130,828,9.07,25843,12554,64.89,40008.45,2.62,5.73,9,24.3,142819.63,3609018.45,-3.19,1
CL10020,Finance,12,Not Renewed,73657.16,19,9929,351,3.54,23334,8068,61.07,34744.71,2.5,6.73,4,16.64,233649.59,6452180.22,2.23,0
CL10021,Real Estate,18,Renewed,70790.58,8,4421,112,2.53,47262,12616,55.79,48750.09,2.52,6.15,10,4.35,224161.2,4569411.09,-5.18,0
CL10022,Technology,12,Not Renewed,17771.34,13,3596,382,10.62,39788,14390,74.63,8614.57,2.89,8.76,0,5.21,41083.56,646888.69,-1.41,0
CL10023,Healthcare,36,Renewed,33442.58,3,1913,150,7.84,33922,7876,69.92,24436.01,2.87,8.56,1,21.39,101053.4,2155814.96,6.63,0
CL10024,Retail,24,Renewed,39077.97,19,6356,1141,17.95,23705,8658,95.0,18407.95,3.49,6.86,7,17.72,89269.69,889216.0,11.66,0
CL10025,Education,24,Renewed,81421.53,7,9743,1410,14.47,19330,8819,82.23,38571.3,2.6,8.68,0,25.26,173181.09,1421971.29,5.12,0
CL10026,Real Estate,12,Renewed,31482.19,11,2413,345,14.3,8912,4986,81.69,18011.92,2.91,8.33,2,15.33,95914.14,803382.35,5.58,0
CL10027,Real Estate,12,Renewed,25016.97,16,9806,1697,17.31,4166,4719,95.0,20229.44,3.38,7.18,1,33.33,98938.44,1678584.1,33.35,0
CL10028,Healthcare,12,Renewed,95957.56,6,1331,216,16.23,37545,14056,78.18,67799.51,2.6,7.23,4,41.61,227822.38,2965725.01,-4.13,0
CL10029,Retail,6,Pending,5842.01,4,9937,739,7.44,21286,10445,57.48,4428.55,2.24,8.13,3,15.05,15397.9,176481.95,-18.03,0
CL10030,Education,24,Renewed,99792.98,6,5931,301,5.08,6015,6975,57.23,50557.2,2.4,8.19,6,10.07,236056.2,5083983.06,-3.17,0
CL10031,Technology,24,Renewed,69298.02,9,3099,436,14.07,42473,10200,87.14,54305.41,3.08,7.98,4,6.46,170159.78,5086431.62,16.34,0
CL10032,E-commerce,36,Renewed,83704.58,9,3540,296,8.36,27127,7956,84.05,37939.81,3.14,5.83,7,29.96,222831.48,2654050.05,9.58,0
CL10033,Education,36,Pending,32988.84,9,4156,409,9.84,15698,5501,71.63,17656.38,2.49,7.29,3,21.86,109117.26,2184666.27,4.75,1
CL10034,Healthcare,18,Renewed,6359.95,13,405,50,12.35,4485,3122,68.01,4429.3,3.05,6.44,5,9.84,15000.0,159510.08,-6.41,0
CL10035,Real Estate,24,Renewed,75097.6,9,1789,296,16.55,46403,11775,83.99,45065.96,3.0,7.63,3,31.7,289875.64,8276877.62,14.03,0
CL10036,Technology,36,Renewed,84243.74,12,9809,882,8.99,41435,11012,76.29,71074.54,2.95,9.29,1,7.98,169170.45,2439203.37,9.58,0
CL10037,Education,24,Renewed,75345.23,15,4017,588,14.64,29975,5838,80.06,34819.72,2.85,6.81,0,27.05,276228.09,7547511.6,20.26,0
CL10038,E-commerce,12,Pending,18570.78,9,7180,478,6.66,40716,15226,55.66,15774.75,2.52,9.09,0,25.78,70393.54,1001536.88,8.72,0
CL10039,E-commerce,12,Renewed,76575.65,11,8711,1160,13.32,19903,1870,86.73,53560.93,3.71,6.65,7,35.51,227911.35,5864878.0,13.07,0
CL10040,Finance,12,Renewed,78047.66,8,3036,77,2.54,4181,12405,57.4,52563.76,2.34,7.46,3,3.59,168275.75,2121349.62,-15.51,0
CL10041,Finance,36,Pending,67561.35,18,3962,634,16.0,26519,10069,80.99,32010.9,2.81,6.99,4,42.73,203039.27,2932164.71,14.27,0
CL10042,Travel,18,Renewed,77781.01,5,9742,289,2.97,28086,12504,47.91,43505.37,1.97,5.17,10,34.04,245784.91,3007045.17,-13.03,1
CL10043,Healthcare,12,Renewed,85362.54,14,5749,779,13.55,42792,9089,92.49,69985.77,3.23,7.22,7,11.16,316375.78,4370325.59,17.82,0
CL10044,Retail,24,Renewed,63292.39,5,3361,108,3.21,38021,3315,60.74,37450.01,2.52,7.27,6,9.62,190181.28,5014518.68,-15.87,0
CL10045,Education,18,Not Renewed,13417.45,6,9456,627,6.63,40350,12080,55.29,9588.93,2.45,6.91,7,21.29,36779.31,811304.32,-6.01,0
CL10046,Education,12,Renewed,51324.64,5,1919,196,10.21,37270,6794,58.35,43615.6,2.66,5.77,7,39.43,188508.27,3191322.99,-1.27,0
CL10047,Retail,12,Pending,12376.69,19,1442,130,9.02,6129,19460,76.08,6871.88,3.01,6.26,5,40.62,48254.31,1417396.17,15.7,0
CL10048,Travel,24,Renewed,43716.59,7,5660,310,5.48,28210,17236,59.08,29746.18,2.51,6.46,9,25.46,140978.34,2569605.66,-8.19,0
CL10049,Real Estate,18,Renewed,43675.12,3,2326,179,7.7,30828,10761,66.57,31820.61,3.36,7.27,1,41.46,162399.67,4763948.74,-5.5,0
CL10050,Real Estate,24,Pending,11270.94,12,1179,162,13.74,12778,1492,87.99,5814.12,3.4,7.75,5,1.26,34785.57,428729.1,11.99,0
CL10051,Travel,18,Not Renewed,38137.95,15,4306,554,12.87,8917,6889,75.73,19430.1,2.5,8.98,0,2.65,124936.95,3485996.45,14.98,0
CL10052,Real Estate,24,Renewed,15544.82,6,6380,231,3.62,35265,14485,53.12,9832.46,1.84,7.58,0,43.86,51348.92,426405.98,2.77,0
CL10053,Finance,18,Pending,81782.34,7,7335,1033,14.08,9463,17161,76.36,49423.11,2.65,6.3,10,37.44,272427.93,5447651.54,16.92,1
CL10054,Education,18,Not Renewed,95030.36,11,913,30,3.29,49052,205,51.03,69912.52,2.39,7.7,2,22.18,243092.39,4207237.11,-4.6,1
CL10055,Travel,24,Renewed,11870.07,9,5189,566,10.91,37792,11579,79.38,5671.56,2.69,7.33,2,36.42,35946.61,702825.7,9.81,1
CL10056,Education,12,Renewed,95735.94,15,2131,139,6.52,25509,2046,67.56,80309.69,2.48,5.1,10,45.92,302276.79,6098671.92,2.78,1
CL10057,Retail,12,Renewed,54644.78,4,8614,1000,11.61,28175,5644,64.48,24902.22,2.64,7.56,4,37.29,135277.42,2240016.83,1.79,0
CL10058,E-commerce,6,Renewed,33458.74,13,9195,602,6.55,36675,17579,71.0,23104.15,2.66,7.4,0,40.59,87237.7,2613672.25,2.18,0
CL10059,Finance,24,Not Renewed,12301.9,17,9833,1747,17.77,7231,13375,92.92,8304.43,2.55,6.59,9,36.75,42681.21,1258376.87,26.66,0
CL10060,Technology,24,Not Renewed,52559.31,18,6011,439,7.3,41063,7085,74.95,26483.92,3.24,7.57,5,8.91,160289.69,4673790.62,-6.26,0
CL10061,Finance,24,Renewed,80478.98,2,2753,172,6.25,11832,1882,54.22,41073.77,2.7,7.95,6,40.18,172300.27,5089727.76,-19.29,1
CL10062,Travel,12,Renewed,72173.22,11,3440,234,6.8,19677,19741,59.37,55361.98,2.07,6.2,9,10.17,263490.38,6704848.08,-17.18,0
CL10063,Technology,12,Pending,9771.47,11,7976,1308,16.4,24218,6313,91.61,7866.28,3.26,6.23,10,42.95,36699.65,1091777.54,12.21,1
CL10064,E-commerce,6,Renewed,11925.67,3,1241,153,12.33,3411,14585,69.2,6716.62,2.35,8.08,2,22.56,33626.79,929172.94,13.71,0
CL10065,Travel,12,Not Renewed,43272.96,10,9141,1264,13.83,19299,15705,81.15,27053.63,2.79,7.04,3,32.82,99311.53,1703244.18,1.79,0
CL10066,Healthcare,18,Renewed,33052.6,14,8658,1448,16.72,49902,4969,83.23,19567.07,3.22,6.5,9,24.37,126854.99,3205003.55,3.54,0
CL10067,Education,12,Pending,27076.51,17,2997,499,16.65,15694,18045,89.84,12970.16,3.48,6.73,10,5.42,99439.05,2790805.92,10.79,1
CL10068,E-commerce,12,Renewed,31695.43,19,9381,1309,13.95,5451,9967,86.3,22797.94,3.39,6.27,9,14.66,75847.86,1795875.09,23.77,1
CL10069,Education,36,Pending,81330.86,20,4141,230,5.55,41366,4081,65.98,63444.35,2.75,5.87,9,47.24,170450.46,2948999.46,12.17,0
CL10070,Real Estate,12,Renewed,93276.67,13,2138,333,15.58,28833,9593,85.95,53349.75,3.56,6.31,9,46.15,258223.45,2439536.43,22.79,0
CL10071,Healthcare,18,Renewed,43484.76,9,4370,247,5.65,22173,5782,64.61,36791.16,2.42,6.7,9,16.06,144889.1,3740070.53,8.34,0
CL10072,Healthcare,24,Renewed,91080.55,18,4783,670,14.01,49385,5882,87.36,43749.69,3.01,6.93,2,47.83,199320.78,5772398.2,28.87,0
CL10073,E-commerce,12,Pending,35542.09,16,594,78,13.13,41370,17427,82.8,25402.51,2.13,7.52,0,40.74,105077.55,1678528.93,-1.91,0
CL10074,Healthcare,24,Not Renewed,50261.51,11,7216,1029,14.26,6065,9237,80.12,31629.13,2.95,6.47,7,29.72,138254.1,1568068.76,0.78,1
CL10075,Technology,24,Renewed,26472.75,16,1884,203,10.77,23321,17084,85.0,16641.85,3.29,7.36,9,2.89,98672.35,1498150.62,8.39,1
CL10076,Healthcare,36,Renewed,65845.22,16,3610,448,12.41,25994,13112,84.33,41683.86,3.17,5.32,9,43.37,181756.15,3783743.53,14.36,1
CL10077,Education,12,Renewed,98003.21,8,3886,671,17.27,34441,1624,83.72,54242.1,2.84,8.12,1,27.2,290020.76,4342317.87,13.91,0
CL10078,Education,36,Pending,62331.84,14,5366,218,4.06,9124,16734,64.59,45890.27,2.93,6.9,0,41.82,242480.66,5197236.4,0.64,0
CL10079,Travel,12,Renewed,38992.34,18,9290,677,7.29,47662,178,75.65,28800.94,2.86,6.58,7,40.22,98027.15,2869328.11,14.13,1
CL10080,Education,12,Renewed,66542.66,10,5528,662,11.98,46524,3223,77.88,37460.78,3.2,6.89,6,40.15,162871.19,3706322.67,-6.33,1
CL10081,Travel,12,Renewed,16677.46,9,6781,1183,17.45,1335,7164,91.67,13077.17,3.41,7.75,6,33.81,59624.93,952717.31,17.55,0
CL10082,Education,36,Renewed,89422.61,19,6993,278,3.98,19146,13168,47.19,51573.42,2.75,8.28,3,14.7,217030.14,6204146.28,-10.34,0
CL10083,Technology,12,Renewed,52792.98,14,9743,278,2.85,12324,8517,51.12,39068.77,2.45,5.96,10,16.8,191740.28,3919933.67,-12.32,1
CL10084,Retail,12,Renewed,47688.23,17,4758,160,3.36,37835,13462,65.26,23767.81,2.86,5.81,8,15.5,96579.38,1045393.83,1.7,0
CL10085,Travel,24,Not Renewed,60657.15,10,7182,238,3.31,4315,1309,51.3,31388.9,2.31,7.93,5,1.94,125136.84,2374794.66,-1.41,0
CL10086,Finance,12,Renewed,64354.47,13,6969,1155,16.57,49898,5253,89.86,37088.66,3.02,7.69,1,28.38,240483.56,5382022.5,17.9,0
CL10087,Real Estate,6,Pending,11818.7,13,7707,1054,13.68,2929,4998,77.74,8125.94,3.1,8.14,0,33.85,35545.84,939888.74,26.02,0
CL10088,E-commerce,12,Renewed,69848.64,7,7769,1010,13.0,42450,18662,81.57,49467.13,3.54,7.38,0,41.13,236546.69,6765824.17,19.21,0
CL10089,Education,12,Renewed,27983.51,20,6319,670,10.6,42386,10971,81.26,17029.15,2.79,6.75,8,7.59,65068.44,974930.52,13.51,0
CL10090,Healthcare,12,Pending,72825.5,8,4634,678,14.63,44898,7710,87.32,35038.95,3.05,6.54,3,26.58,157992.02,1804469.84,19.65,0
CL10091,Retail,12,Pending,83140.81,4,6079,299,4.92,3107,11177,50.72,49839.08,2.34,7.31,4,1.38,299578.57,2883213.1,-4.05,0
CL10092,Education,24,Not Renewed,81376.06,17,8990,771,8.58,26150,15891,73.15,59038.9,3.07,7.57,2,5.47,214384.08,5197485.03,19.19,0
CL10093,Healthcare,12,Renewed,57487.59,19,1412,143,10.13,39198,2644,88.01,41298.98,3.28,8.53,3,3.55,162986.98,4155105.57,25.5,0
CL10094,Real Estate,12,Renewed,54416.14,17,3062,129,4.21,32853,5622,66.71,27974.17,3.0,5.93,7,35.1,102697.44,1746494.11,5.31,1
CL10095,Real Estate,24,Pending,18573.22,8,3038,273,8.99,37290,2470,70.93,8415.78,3.47,8.78,3,4.81,48729.22,814282.76,-1.68,0
CL10096,Real Estate,12,Renewed,78657.88,5,3297,244,7.4,12491,19765,51.73,59087.22,2.13,5.72,8,34.67,275752.31,7994945.93,-5.97,1
CL10097,Healthcare,24,Renewed,30783.89,9,5396,165,3.06,21668,4810,54.05,15162.52,2.61,7.87,8,12.73,109215.54,3076272.93,-3.03,1
CL10098,Education,12,Renewed,52186.07,14,7304,337,4.61,31599,428,72.95,25202.72,2.93,5.57,5,42.25,171594.06,2253347.43,11.79,1
CL10099,Real Estate,12,Renewed,32006.04,14,5830,836,14.34,39885,13783,94.98,14437.3,3.32,7.83,1,39.22,104542.85,2632155.65,15.11,0
CL10100,Technology,6,Not Renewed,17713.69,18,226,6,2.65,36419,5679,61.15,11036.35,2.77,5.69,9,46.02,51703.83,1121942.54,3.21,0
CL10101,Travel,12,Renewed,64807.98,18,5702,968,16.98,31916,13222,88.71,42209.8,3.08,4.87,10,42.54,193990.89,2210118.86,23.0,0
CL10102,Healthcare,12,Renewed,10161.54,6,1291,50,3.87,6080,6894,57.14,7164.55,2.58,6.06,6,44.87,34912.95,553334.05,-15.18,0
CL10103,Healthcare,12,Renewed,76121.3,7,2739,408,14.9,7554,220,90.11,43269.29,2.75,5.86,8,41.36,179755.89,2139886.86,7.97,0
CL10104,Education,6,Renewed,35170.75,20,1466,241,16.44,24590,6849,95.0,25821.31,3.12,7.0,5,33.59,83345.12,1207956.9,29.94,0
CL10105,Healthcare,12,Renewed,5012.8,14,9311,1591,17.09,40887,13863,94.81,2595.29,3.67,7.62,2,9.0,19170.33,412864.22,14.03,0
CL10106,Healthcare,12,Renewed,53557.27,15,6553,1045,15.95,16323,17448,95.0,41924.42,3.66,7.37,6,13.77,104642.75,1701055.84,33.3,0
CL10107,Real Estate,12,Renewed,9450.93,5,6771,471,6.96,46515,15550,63.74,6414.72,2.71,7.71,4,11.0,20438.23,340691.18,-3.11,0
CL10108,Education,12,Pending,31236.11,8,6783,520,7.67,37841,3775,66.25,21351.63,2.51,8.49,0,29.37,95850.72,1904768.55,3.95,0
CL10109,Real Estate,18,Renewed,72162.77,9,4639,423,9.12,15839,18560,67.74,38528.44,2.99,7.27,2,24.67,244121.65,2421425.82,4.61,0
CL10110,Travel,24,Renewed,10955.51,14,8976,418,4.66,3991,5743,64.52,5254.74,3.07,6.65,4,41.75,32313.08,783706.59,-6.05,0
CL10111,Retail,6,Not Renewed,84737.16,7,2987,85,2.85,1206,11660,61.58,53883.51,2.42,7.13,6,45.78,220706.99,3716178.16,8.73,0
CL10112,Travel,24,Pending,5362.89,7,9754,1558,15.97,32457,17800,92.33,3733.88,2.74,7.36,2,20.03,21064.42,391139.65,16.91,0
CL10113,Retail,24,Renewed,28448.27,4,4186,464,11.08,16228,17680,65.57,13883.28,2.81,6.31,5,24.8,93882.0,2763378.56,0.87,1
CL10114,Real Estate,6,Renewed,75385.89,4,2361,282,11.94,7497,15483,68.1,62586.41,3.03,6.41,4,46.66,275420.41,4289968.01,-13.69,1
CL10115,Travel,24,Renewed,35045.66,14,4280,722,16.87,38501,3270,95.0,29514.25,3.52,7.47,0,13.98,69918.19,1556436.0,10.31,0
CL10116,Education,36,Pending,14679.78,3,2941,377,12.82,39023,455,79.34,9808.77,3.51,6.78,9,38.24,34680.65,576915.91,19.06,0
CL10117,E-commerce,6,Not Renewed,39222.22,17,6140,811,13.21,25663,9818,85.48,32555.53,3.65,7.25,5,11.59,105635.88,2923390.56,14.29,0
CL10118,Real Estate,12,Pending,30687.36,7,3660,538,14.7,18218,128,85.55,16011.99,2.99,6.28,7,33.03,67938.97,1809122.23,9.7,1
CL10119,Retail,24,Renewed,85057.63,9,4858,209,4.3,22472,14931,71.16,39140.82,2.85,8.89,0,12.92,167404.52,2229114.06,-0.24,0
CL10120,Technology,24,Pending,34768.05,9,726,59,8.13,18731,17497,65.35,16193.7,2.48,7.12,1,42.54,79588.71,1847922.96,4.63,0
CL10121,Retail,12,Renewed,79948.58,7,5114,895,17.5,40119,10994,95.0,54765.18,2.95,7.34,3,27.39,239197.04,2256533.19,31.08,0
CL10122,Technology,12,Renewed,89727.85,15,1475,248,16.81,12626,9119,93.91,42589.93,2.95,7.92,1,9.74,294283.05,8590145.35,15.74,0
CL10123,Healthcare,12,Renewed,46212.65,4,1281,208,16.24,24095,12738,75.8,38514.47,3.14,5.35,10,11.55,163306.19,2560278.91,16.33,1
CL10124,Travel,12,Not Renewed,91444.6,11,5808,552,9.5,41133,14989,66.83,46341.68,2.79,6.46,8,24.21,175286.43,4610127.94,0.0,1
CL10125,Technology,18,Renewed,40845.22,4,590,93,15.76,12618,2124,81.55,23358.94,3.32,6.23,9,46.2,111987.11,1680421.47,15.59,0
CL10126,Retail,12,Pending,96587.45,13,3829,124,3.24,3817,5939,65.3,75242.31,3.54,6.37,7,37.17,207797.86,4555127.81,-13.99,1
CL10127,Healthcare,12,Renewed,13482.5,18,6074,292,4.81,45480,13603,71.92,7246.79,2.97,7.17,7,23.95,36940.63,1094883.24,-7.99,0
CL10128,E-commerce,24,Renewed,70266.83,6,3634,324,8.92,44615,10403,71.88,38449.12,2.52,7.12,3,16.87,193103.52,5269504.82,11.38,0
CL10129,Education,6,Renewed,51912.33,10,3396,339,9.98,43658,17238,69.79,36698.05,3.11,6.83,4,26.82,151738.47,1749248.67,5.55,0
CL10130,Education,12,Renewed,41826.64,8,2040,134,6.57,48131,17722,57.85,23441.09,2.2,6.52,3,36.17,155388.18,3114716.53,-1.78,1
CL10131,Education,24,Pending,65107.63,5,5114,410,8.02,49816,2006,74.76,34961.43,3.47,6.3,8,37.84,229500.83,3595749.97,-1.8,0
CL10132,Technology,24,Renewed,71866.42,14,1982,100,5.05,40328,7499,53.53,39646.63,1.7,8.0,1,16.26,228178.15,4005771.18,-11.41,0
CL10133,E-commerce,18,Pending,5414.51,14,5008,505,10.08,16004,8061,74.37,3499.18,2.66,5.53,10,34.89,20146.96,309739.94,-6.82,0
CL10134,Technology,18,Pending,20860.54,11,3087,457,14.8,3557,12131,95.0,17448.59,3.53,6.83,7,31.92,69546.83,1070402.46,14.22,0
CL10135,Travel,12,Not Renewed,72739.37,19,5685,725,12.75,27160,15228,79.89,56947.3,3.39,7.17,1,46.08,262976.04,5242735.4,10.24,0
CL10136,Technology,12,Renewed,68306.61,18,3259,136,4.17,37696,15763,52.82,38514.28,2.14,8.27,0,44.76,206620.35,2525563.56,-5.9,0
CL10137,E-commerce,18,Renewed,96774.51,14,4630,466,10.06,902,1560,62.69,57614.64,2.29,6.0,9,38.1,285658.58,5662524.15,-7.32,0
CL10138,E-commerce,12,Renewed,77298.59,18,781,104,13.32,9105,15782,95.0,49146.82,3.36,7.28,2,35.0,261234.87,3693139.95,25.42,0
CL10139,Travel,12,Not Renewed,95323.41,5,5354,574,10.72,16261,15293,75.99,80221.5,3.56,5.84,8,13.88,186046.56,2671186.54,7.39,1
CL10140,E-commerce,12,Not Renewed,71741.35,2,1173,101,8.61,27543,17900,61.14,37230.62,2.02,7.71,2,40.76,235278.05,5706070.71,-4.51,0
CL10141,Retail,6,Renewed,33314.96,2,2487,302,12.14,34135,11145,74.73,19755.55,2.75,6.67,8,21.09,126954.54,1098291.25,7.48,0
CL10142,E-commerce,12,Not Renewed,15009.67,16,2793,489,17.51,14279,7866,89.73,11133.73,3.29,7.32,6,13.8,50803.55,832203.14,34.11,0
CL10143,Education,12,Renewed,79273.27,14,9662,384,3.97,15655,17912,46.78,66238.96,1.96,6.54,9,19.06,157449.49,2671249.69,-14.04,1
CL10144,Retail,12,Pending,66194.18,18,4440,379,8.54,41478,4478,78.17,33909.3,2.66,7.5,0,40.29,173536.47,3240346.39,16.84,0
CL10145,Retail,12,Renewed,9577.67,9,2256,199,8.82,33632,7629,70.44,5181.06,2.68,6.54,9,7.99,33860.5,769251.05,8.18,0
CL10146,Travel,24,Pending,39204.79,19,8066,923,11.44,24351,3171,85.18,21181.48,3.2,7.11,4,22.44,150865.81,2433934.59,12.14,1
CL10147,Finance,18,Renewed,95895.98,14,2680,130,4.85,15866,17039,62.07,43956.11,2.51,7.12,8,24.14,248556.27,3153934.56,-14.45,0
CL10148,Finance,24,Not Renewed,52538.11,15,7357,385,5.23,28908,18047,64.24,36337.79,3.14,8.14,2,2.72,191208.2,5251954.35,-5.55,1
CL10149,E-commerce,24,Pending,46109.27,9,2259,156,6.91,7071,11792,49.78,33119.42,2.51,6.44,8,10.2,170307.86,5038191.84,-10.04,0
CL10150,Retail,12,Pending,48481.46,9,6872,1190,17.32,14517,1140,95.0,33501.19,3.45,7.65,4,39.86,103345.7,872271.11,20.16,0
CL10151,Finance,6,Renewed,24843.86,16,1727,240,13.9,39736,2786,77.73,11888.51,3.29,6.7,8,40.05,89333.26,1788654.72,19.28,1
CL10152,Finance,18,Renewed,40027.18,14,8319,1061,12.75,4650,12766,75.95,19120.67,3.03,6.58,9,14.74,100081.87,1553015.65,1.8,1
CL10153,E-commerce,18,Renewed,40132.26,8,7180,1089,15.17,46333,2653,82.03,21436.83,2.87,6.58,5,42.12,123580.79,1741719.31,10.75,0
CL10154,Finance,24,Renewed,9973.73,6,2085,93,4.46,19923,1879,43.84,5646.31,2.08,5.9,8,37.27,29655.39,456264.21,-10.52,1
CL10155,Technology,12,Renewed,77918.92,18,9813,1552,15.82,4637,13286,86.77,59578.17,2.73,6.94,6,20.64,255852.03,5642896.0,13.01,0
CL10156,Healthcare,12,Not Renewed,44567.92,17,8588,1007,11.73,30492,16559,75.71,22897.04,3.58,6.09,6,36.18,150791.76,1839018.94,15.29,0
CL10157,Travel,12,Renewed,83107.09,3,2281,176,7.72,45504,5157,62.71,38863.94,2.92,6.37,7,46.18,227942.76,6401301.86,-10.3,1
CL10158,Healthcare,12,Renewed,85783.06,19,2396,363,15.15,29402,18833,77.62,52121.36,2.03,7.82,6,22.57,318885.79,5821106.89,-3.32,0
CL10159,E-commerce,24,Renewed,25139.44,18,7264,1085,14.94,45421,19257,95.0,15499.89,3.78,7.04,8,12.21,89347.73,1354751.96,18.71,1
CL10160,Education,18,Renewed,67448.58,8,2697,421,15.61,14333,2362,89.61,42517.08,2.68,4.86,10,45.27,236540.48,5876065.11,16.66,0
CL10161,Travel,12,Renewed,49866.77,14,1001,43,4.3,1881,19713,54.6,38934.05,2.6,6.56,8,29.38,142494.73,1191202.74,-5.54,1
CL10162,E-commerce,36,Renewed,88614.89,19,6160,1080,17.53,8654,10408,91.4,43350.6,2.46,7.66,5,5.95,168474.95,2948440.18,19.59,0
CL10163,Retail,18,Not Renewed,25495.36,15,9390,1631,17.37,34735,16876,95.0,18651.81,3.16,7.03,6,27.92,74360.6,1176137.76,17.73,0
CL10164,Education,12,Renewed,69392.25,19,1777,143,8.05,13939,17592,69.97,40606.83,3.22,7.52,1,24.53,259043.36,3999789.57,-8.58,0
CL10165,Healthcare,12,Not Renewed,62736.45,14,2981,105,3.52,19622,5288,50.02,36010.22,2.8,6.01,8,41.21,140745.67,2169674.72,-11.44,1
CL10166,E-commerce,12,Not Renewed,33053.64,12,5722,291,5.09,24456,8902,61.34,27203.72,2.67,8.64,0,25.94,131196.46,1139830.95,-10.88,0
CL10167,Retail,12,Renewed,17977.09,17,8152,1458,17.89,17764,5157,88.06,9876.39,3.43,7.89,0,13.0,63522.0,720756.24,16.71,0
CL10168,Travel,12,Not Renewed,66905.78,18,1478,166,11.23,45274,4098,74.42,47303.24,2.36,7.29,2,32.76,225298.24,2505648.41,-2.27,0
CL10169,Travel,12,Renewed,75166.76,9,1348,108,8.01,3649,8964,67.82,42097.23,2.9,6.88,5,26.5,245197.63,7294490.0,5.01,1
CL10170,Real Estate,12,Pending,34984.6,20,5750,401,6.97,25160,3777,76.81,22839.96,3.2,8.17,4,11.95,108311.23,919307.45,21.61,0
CL10171,Retail,12,Renewed,66259.1,16,6179,401,6.49,41160,5896,80.99,50656.22,3.9,8.51,1,27.96,225581.56,2633804.67,5.39,1
CL10172,Technology,24,Not Renewed,42537.44,10,9556,1223,12.8,21028,14550,90.04,34144.34,2.98,5.0,8,39.61,118537.98,3488790.77,7.41,0
CL10173,Finance,6,Not Renewed,72754.65,11,7136,642,9.0,49404,6463,70.85,57147.24,2.78,7.31,9,2.34,267116.86,5828929.31,13.25,0
